Titulo,Autor,Link,Respuestas,Visitas
Donde conectar PS3 (AVR o SURGE),Mcelis1221,https://www.adslzone.net//foro/videojuegos-y-consolas.58/donde-conectar-ps3-avr-o-surge.498436/,2020-06-15,0,793
Ayuda! ¿Mi pc es buena para crysis 3?,FernandoAmir1,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ayuda-mi-pc-es-buena-crysis-3.495799/,2020-05-13,1,890
Baja velocidad en test de internet,DaveRnC,https://www.adslzone.net//foro/videojuegos-y-consolas.58/baja-velocidad-test-internet.497776/,2020-06-06,1,790
Ya conoces el juego para móvil Free Fire,Jorge Zúñiga Rivera,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ya-conoces-juego-movil-free-fire.496960/,2020-05-28,0,1141
Juegos actuales,Lily Elisa,https://www.adslzone.net//foro/videojuegos-y-consolas.58/juegos-actuales.496566/,2020-05-25,0,752
ojo con 4frags,cire,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ojo-4frags.496259/,2020-05-19,0,694
problema para acceder a Valorant,desektic,https://www.adslzone.net//foro/videojuegos-y-consolas.58/problema-acceder-valorant.495887/,2020-05-14,0,784
minecraft duda,andresga96,https://www.adslzone.net//foro/videojuegos-y-consolas.58/minecraft-duda.495728/,2020-05-12,0,755
Como mejorar mi tarjeta grafica y el shader model para poder jugar mas juegos,Mellow,https://www.adslzone.net//foro/videojuegos-y-consolas.58/como-mejorar-mi-tarjeta-grafica-shader-model-poder-jugar-mas-juegos.495699/,2020-05-11,0,1351
Encuesta para mi TFG sobre LoL,cloud92miguel,https://www.adslzone.net//foro/videojuegos-y-consolas.58/encuesta-mi-tfg-sobre-lol.495695/,2020-05-11,0,758
Ayuda NAT ps4,Ruizinho,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ayuda-nat-ps4.495458/,2020-05-07,0,733
Encuesta,Yisus350,https://www.adslzone.net//foro/videojuegos-y-consolas.58/encuesta.495397/,2020-05-07,0,594
Ping,Realess,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ping.495360/,2020-05-06,0,675
Principales Normas sobre el Foro,Cazique,https://www.adslzone.net//foro/videojuegos-y-consolas.58/principales-normas-sobre-foro.152122/,2008-07-31,0,10022
GAMERZONA ABIERTA :D,ruvelro,https://www.adslzone.net//foro/videojuegos-y-consolas.58/gamerzona-abierta-d.271033/,2011-03-15,6,9217
Tengo fibra 600 megas y PING de 18 pero tengo problemas al jugar.,Wanacho,https://www.adslzone.net//foro/videojuegos-y-consolas.58/tengo-fibra-600-megas-ping-18-pero-tengo-problemas-jugar.495175/,2020-05-04,0,703
Problema con mi pc que no consigo sacarle su rendimiento,Crak42163,https://www.adslzone.net//foro/videojuegos-y-consolas.58/problema-mi-pc-no-consigo-sacarle-su-rendimiento.484732/,2019-12-10,3,1027
Juegos se me cierran solos,asteron,https://www.adslzone.net//foro/videojuegos-y-consolas.58/juegos-se-me-cierran-solos.494611/,2020-04-27,0,781
Ayuda con la grafica,Popsy3216,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ayuda-grafica.494548/,2020-04-26,0,790
Twitch con los drops activados del Valorant & cuenta de Youtube,mrjuankar,https://www.adslzone.net//foro/videojuegos-y-consolas.58/twitch-drops-activados-valorant-cuenta-youtube.494314/,2020-04-24,0,674
Jugar con un Josdctik en el ordenador,Pendrive991,https://www.adslzone.net//foro/videojuegos-y-consolas.58/jugar-josdctik-ordenador.483790/,2019-11-23,4,1024
Adicta a los juegos para jugar con amigos y amigas,lauratoledo26,https://www.adslzone.net//foro/videojuegos-y-consolas.58/adicta-juegos-jugar-amigos-amigas.475376/,2019-06-26,6,1682
Como conseguir la beta cerrada del Valorant,matiasrejan,https://www.adslzone.net//foro/videojuegos-y-consolas.58/como-conseguir-beta-cerrada-valorant.493626/,2020-04-16,0,586
Como Conseguir dinero en steam Farmeando Cromos,matiasrejan,https://www.adslzone.net//foro/videojuegos-y-consolas.58/como-conseguir-dinero-steam-farmeando-cromos.493625/,2020-04-16,0,536
Problemas de NAT en ps4,Kamusete,https://www.adslzone.net//foro/videojuegos-y-consolas.58/problemas-nat-ps4.493366/,2020-04-13,0,504
Ayuda para FS19,Manu69,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ayuda-fs19.493209/,2020-04-10,0,635
apoyad el canal,xjuanmitax,https://www.adslzone.net//foro/videojuegos-y-consolas.58/apoyad-canal.492903/,2020-04-06,0,606
Xbox one,Wichoperez,https://www.adslzone.net//foro/videojuegos-y-consolas.58/xbox-one.492825/,2020-04-05,0,516
Consola,Wichoperez,https://www.adslzone.net//foro/videojuegos-y-consolas.58/consola.492822/,2020-04-05,0,507
Crash en Fornite mientras está cargando el juego,thunderfruit,https://www.adslzone.net//foro/videojuegos-y-consolas.58/crash-fornite-mientras-esta-cargando-juego.487930/,2020-02-13,4,927
Juegos gratis PC-ONE-STEAm-EPIC Y OTROS,Da$3,https://www.adslzone.net//foro/videojuegos-y-consolas.58/juegos-gratis-pc-one-steam-epic-otros.492289/,2020-03-29,0,551
juegos gratis para pc,mr.cisco,https://www.adslzone.net//foro/videojuegos-y-consolas.58/juegos-gratis-pc.456288/,2018-08-04,8,3298
Ayuda bajón extremo de fps,Shanks232,https://www.adslzone.net//foro/videojuegos-y-consolas.58/ayuda-bajon-extremo-fps.489510/,2020-03-16,1,508
sluttering con monitor de 144hz,tbulks,https://www.adslzone.net//foro/videojuegos-y-consolas.58/sluttering-monitor-144hz.491366/,2020-03-21,1,591
Descargar World War Z !Gratis! en Epic Games Store l Regalado,D1EG010,https://www.adslzone.net//foro/videojuegos-y-consolas.58/descargar-world-war-z-gratis-epic-games-store-l-regalado.492201/,2020-03-28,0,518
Problema Frametime,Pinikas,https://www.adslzone.net//foro/videojuegos-y-consolas.58/problema-frametime.491680/,2020-03-24,0,1158
xbox 360 slim rgh corona no da imagen despues de actualizar,A.Avila,https://www.adslzone.net//foro/videojuegos-y-consolas.58/xbox-360-slim-rgh-corona-no-da-imagen-despues-actualizar.486478/,2020-01-16,3,4936
La historia de Steam,karrio,https://www.adslzone.net//foro/videojuegos-y-consolas.58/historia-steam.487950/,2020-02-14,0,755
RDR2 o Battlefield V?,alanoide,https://www.adslzone.net//foro/videojuegos-y-consolas.58/rdr2-o-battlefield-v.486870/,2020-01-23,1,616
"Guild de World Of Warcraft, alguien quiere?",Gavran,https://www.adslzone.net//foro/videojuegos-y-consolas.58/guild-world-of-warcraft-alguien-quiere.487514/,2020-02-04,0,491
Compartir suscripcion familiar nintendo switch online !! ANUAL,Yuenzu,https://www.adslzone.net//foro/videojuegos-y-consolas.58/compartir-suscripcion-familiar-nintendo-switch-online-anual.487072/,2020-01-27,0,879
Pregunta cuya respuesta me servirá de base para saber que videojuego quiero jugar?,DanteAshamot,https://www.adslzone.net//foro/videojuegos-y-consolas.58/pregunta-cuya-respuesta-me-servira-base-saber-videojuego-quiero-jugar.485986/,2020-01-06,2,657
Need for Speed Heat Multi ElAmigos Español PC,Reeverb,https://www.adslzone.net//foro/videojuegos-y-consolas.58/need-for-speed-heat-multi-elamigos-espanol-pc.486108/,2020-01-08,0,1313
Nuevo Server minecraft ultima versión,mrlife000,https://www.adslzone.net//foro/videojuegos-y-consolas.58/nuevo-server-minecraft-ultima-version.485930/,2020-01-04,0,624
Pérdida de paquetes en PUBG,Rikus,https://www.adslzone.net//foro/videojuegos-y-consolas.58/perdida-paquetes-pubg.485766/,2020-01-01,0,710
canjear pico minty fortnite,coyoterem,https://www.adslzone.net//foro/videojuegos-y-consolas.58/canjear-pico-minty-fortnite.485270/,2019-12-20,0,2404
"Idle-Empire funciona [Testado] Skins, Gift Cards, e mais.",jimst,https://www.adslzone.net//foro/videojuegos-y-consolas.58/idle-empire-funciona-testado-skins-gift-cards-e-mais.485042/,2019-12-16,0,704
Auriculares gaming,Pedrolo1905,https://www.adslzone.net//foro/videojuegos-y-consolas.58/auriculares-gaming.475212/,2019-06-24,2,797
Mando Jostick para jugar en el ordenador,Pendrive991,https://www.adslzone.net//foro/videojuegos-y-consolas.58/mando-jostick-jugar-ordenador.484196/,2019-11-29,0,520
busco gente para servidor minecraft con mods 1.12.2,slema20,https://www.adslzone.net//foro/videojuegos-y-consolas.58/busco-gente-servidor-minecraft-mods-1-12-2.484062/,2019-11-28,0,787
NETWORK DE MINECRAFT SEMI PREMIUN 1.7 A 1.14,Motas,https://www.adslzone.net//foro/videojuegos-y-consolas.58/network-minecraft-semi-premiun-1-7-1-14.483786/,2019-11-23,0,595
no puedo conectar mi nintendo 3ds al wifi ):,ecchieve,https://www.adslzone.net//foro/videojuegos-y-consolas.58/no-puedo-conectar-mi-nintendo-3ds-wifi.483638/,2019-11-21,0,798
¿Audifonos LOGITECH G331 o COUGAR PHONTUM ESSENTIAL IVORY?,Zzz.Djin,https://www.adslzone.net//foro/videojuegos-y-consolas.58/audifonos-logitech-g331-o-cougar-phontum-essential-ivory.483580/,2019-11-20,0,612
Mi pc se me congela cuando abro 4 aplicaciones,Dagar15,https://www.adslzone.net//foro/videojuegos-y-consolas.58/mi-pc-se-me-congela-cuando-abro-4-aplicaciones.483374/,2019-11-17,0,574
[RS] 10.000 ROMS del ZX-SPECTRUM,juanlured,https://www.adslzone.net//foro/videojuegos-y-consolas.58/rs-10-000-roms-zx-spectrum.196461/,2009-06-05,5,2165
